author_number,author_name,work_id_db,work_name_db,expected_verses,actual_verses,missing_verses,status
1,திருஆலவாய் உடையார் ^ திருமுகப்பாசுரம்,,,1,0,1,MISSING
2,காரைக்கால் அம்மையார்  ^ மூத்த திருப்பதிகம்,,,22,0,22,MISSING
3,காரைக்கால் அம்மையார் ^ திருஇரட்டைமணிமாலை,,,20,0,20,MISSING
4,காரைக்கால் அம்மையார் ^ அற்புதத் திருவந்தாதி,,,101,0,101,MISSING
5,ஐயடிகள் காடவர் கோன் நாயனார் ^ சேத்திரத் திருவெண்பா,,,24,0,24,MISSING
6,சேரமான் பெருமாள் நாயனார் ^ பொன்வண்ணத்து அந்தாதி,,,101,0,101,MISSING
7,சேரமான் பெருமாள் நாயனார் ^ திருவாரூர் மும்மணிக்கோவை,,,29,0,29,MISSING
8,சேரமான் பெருமாள் ^ திருக்கைலாய ஞானஉலா (ஆதி உலா),,,198,0,198,MISSING
9,நக்கீரதேவ நாயனார் ^ கயிலைபாதி காளத்திபாதி அந்தாதி,,,100,0,100,MISSING
10,நக்கீரதேவ நாயனார் ^ திருஈங்கோய்மலை எழுபது,,,70,0,70,MISSING
11,நக்கீரதேவ நாயனார் ^ திருவலஞ்சுழி மும்மணிக்கோவை,,,15,0,15,MISSING
12,நக்கீரதேவ நாயனார் ^ திருஎழுகூற்றிருக்கை,,,2,0,2,MISSING
13,நக்கீரதேவ நாயனார் ^ பெருந்தேவபாணி,,,2,0,2,MISSING
14,நக்கீரதேவ நாயனார் ^ கோபப் பிரசாதம்,,,1,0,1,MISSING
15,நக்கீரதேவ நாயனார் ^ கார் எட்டு,,,8,0,8,MISSING
16,நக்கீரதேவ நாயனார் ^ போற்றித் திருக்கலிவெண்பா,,,45,0,45,MISSING
17,நக்கீரதேவ நாயனார் ^ திருமுருகாற்றுப்படை,,,11,0,11,MISSING
18,நக்கீரதேவ நாயனார் ^ திருக்கண்ணப்ப தேவர் திருமறம்,,,2,0,2,MISSING
19,கல்லாட தேவ நாயனார் ^ திருக்கண்ணப்ப தேவர் திருமறம்,,,1,0,1,MISSING
20,கபில தேவ நாயனார் ^ மூத்த நாயனார் திருஇரட்டை மணிமாலை,,,20,0,20,MISSING
21,கபில தேவ நாயனார் ^ சிவபெருமான் திருஇரட்டை மணிமாலை,,,37,0,37,MISSING
22,கபிலதேவ நாயனார்  ^ சிவபெருமான் திருவந்தாதி,,,100,0,100,MISSING
23,சிவபெருமான் திருஅந்தாதி ^ பரணதேவ நாயனார்,,,101,0,101,MISSING
24,இளம் பெருமாள் அடிகள் ^ சிவபெருமான் திருமும்மணிக்கோவை,,,30,0,30,MISSING
25,அதிரா அடிகள் ^ மூத்தபிள்ளையார் திருமும்மணிக்கோவை,,,23,0,23,MISSING
26,பட்டினத்து அடிகள் ^ கோயில் நான்மணிமாலை,,,40,0,40,MISSING
27,பட்டினத்து அடிகள் ^ திருக்கழுமல மும்மணிக்கோவை,,,30,0,30,MISSING
28,பட்டினத்து அடிகள் ^ திருவிடைமருதூர் மும்மணிக்கோவை,,,30,0,30,MISSING
29,பட்டினத்து அடிகள் ^ திருவேகம்பமுடையார் திருவந்தாதி,,,100,0,100,MISSING
30,பட்டினத்து அடிகள் ^ திருவொற்றியூர் ஒருபா ஒருபஃது,,,10,0,10,MISSING
31,நம்பியாண்டார் நம்பிகள் ^ திருநாரையூர் விநாயகர் இரட்டைமணிமாலை,,,20,0,20,MISSING
32,நம்பியாண்டார் நம்பி ^ கோயில் திருப்பண்ணியர் விருத்தம்,,,70,0,70,MISSING
33,நம்பியாண்டார் நம்பி ^ திருத்தொண்டர் திருவந்தாதி,,,90,0,90,MISSING
34,நம்பியாண்டார் நம்பி ^ ஆளுடையபிள்ளையார் திருவந்தாதி,,,101,0,101,MISSING
35,நம்பியாண்டார் நம்பி ^ ஆளுடையபிள்ளையார் திருச்சண்பை விருத்தம்,,,11,0,11,MISSING
36,நம்பியாண்டார் நம்பி ^ ஆளுடையபிள்ளையார் திருமும்மணிக்கோவை,,,30,0,30,MISSING
37,நம்பியாண்டார் நம்பி ^ ஆளுடையபிள்ளையார் திருவுலாமாலை,,,143,0,143,MISSING
38,நம்பியாண்டார் நம்பி ^ ஆளுடையபிள்ளையார் திருக்கலம்பகம்,,,49,0,49,MISSING
39,நம்பியாண்டார் நம்பி ^ ஆளுடையபிள்ளையார் திருத்தொகை,,,1,0,1,MISSING
40,நம்பியாண்டார் நம்பி ^ திருநாவுக்கரசு தேவர் திருஎகாதசமாலை,,,11,0,11,MISSING
